Fushimi_Inari_Taisha 06/18/2023 07:00 06/18/2023 09:00 0.00 no
Higashiyama_and_Gion 06/18/2023 11:00 06/18/2023 19:00 0.00 no
Kinkaku-ji 06/19/2023 08:00 06/19/2023 10:00 0.00 no
Arashiyama 06/19/2023 12:00 06/19/2023 17:00 0.00 no
Kyoto_Tower 06/19/2023 18:00 06/19/2023 20:00 0.00 no
Hotel_M's_Plus_Shijo_Checkout 06/20/2023 11:00 06/20/2023 12:00 0.00 https://www.expedia.com/Kyoto-Hotels-Hotel-Ms-Plus-Shijo-Omiya.h16621109.Hotel-Information?bedroom_count_gt=&chain=&chkin=6%2F17%2F2023&chkout=6%2F20%2F2023&daysInFuture=&destType=MARKET&destination=Central%20Kyoto%2C%20Kyoto%2C%20Kyoto%20Prefecture%2C%20Japan&endDate=6%2F20%2F2023&expediaPropertyId=&group=&guestRating=&hotelName=&latLong=&misId=&neighborhood=&neighborhoodId=6131500&poi=&price=0&price=120&pricing_group=&pwa_ts=1673075509129&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&regionId=6131500&rfrr=HSR&rm1=a3&roomIndex=&selected=&selectedRatePlan=292339031&selectedRoomType=201758970&sort=RECOMMENDED&startDate=6%2F17%2F2023&stayLength=&theme=&top_cur=USD&us_bathroom_count_gt=&useRewards=false&userIntent=&vacationRentalsOnly=false&x_pwa=1

Destination: Osaka 06/23/2023 06:00 06/24/2023 12:00 762.67
Personal 06/20/2023 13:00 06/20/2023 13:01 200.00 no
Food_+_Transport 06/20/2023 14:00 06/20/2023 14:01 304.00 https://www.budgetyourtrip.com/budgetreportadv.php?geonameid=1853909&countrysearch=&country_code=&categoryid=0&budgettype=2&triptype=0&startdate=&enddate=&travelerno=0
Umeda_Sky_Building 06/20/2023 15:00 06/20/2023 17:00 0.00 no
Hotel_Dans_Le_Coeur_Osaka_Umeda_Checkin 06/20/2023 23:00 06/21/2023 00:00 158.67 https://www.expedia.com/Osaka-Hotels-Hotel-Dans-Le-Coeur-Osaka-Umeda.h38951434.Hotel-Information?chkin=2023-06-20&chkout=2023-06-24&x_pwa=1&rfrr=HSR&pwa_ts=1673120842522&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a3&regionId=6151244&destination=Osaka+Station%2C+Osaka%2C+Osaka+Prefecture%2C+Japan&destType=MARKET&neighborhoodId=6204264&price=0&price=120&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=213627722&selectedRatePlan=244416050
Osaka_Castle,_Shitennoji_Temple,_Shinsekai 06/21/2023 10:00 06/21/2023 19:00 0.00 no
Kuromon_Market,_Minami/Dotonbori 06/22/2023 08:00 06/22/2023 16:00 0.00 no
Nara_(Day_Trip) 06/23/2023 06:00 06/23/2023 20:00 100.00 no
Hotel_Dans_Le_Coeur_Osaka_Umeda_Checkout 06/24/2023 11:00 06/24/2023 12:00 0.00 https://www.expedia.com/Osaka-Hotels-Hotel-Dans-Le-Coeur-Osaka-Umeda.h38951434.Hotel-Information?chkin=2023-06-20&chkout=2023-06-24&x_pwa=1&rfrr=HSR&pwa_ts=1673120842522&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a3&regionId=6151244&destination=Osaka+Station%2C+Osaka%2C+Osaka+Prefecture%2C+Japan&destType=MARKET&neighborhoodId=6204264&price=0&price=120&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=213627722&selectedRatePlan=244416050

Destination: Hiroshima 06/24/2023 13:00 06/27/2023 12:00 584.00
Personal 06/24/2023 13:00 06/24/2023 13:01 200.00 no
Food_+_Transport 06/24/2023 14:00 06/24/2023 14:01 180.00 https://www.budgetyourtrip.com/japan/hiroshima
The_Knot_Hiroshima_Checkin 06/24/2023 23:00 06/25/2023 00:00 104.00 https://www.expedia.com/Hiroshima-Hotels-THE-KNOT-Hiroshima.h48483168.Hotel-Information?chkin=2023-06-24&chkout=2023-06-27&x_pwa=1&rfrr=HSR&pwa_ts=1673145741747&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a3&regionId=6222609&destination=Hiroshima+Station%2C+Hiroshima%2C+Hiroshima+Prefecture%2C+Japan&destType=MARKET&neighborhoodId=553248635810424097&price=0&price=120&lodging=HOTEL&sort=RECOMMENDED&top_dp=95&top_cur=USD&userIntent=&selectedRoomType=321061337&selectedRatePlan=387652289
Hiroshima_Castle,_Shukkei-en_Garden,_Atomic_Bomb_Dome,_Peace_Park 06/25/2023 10:00 06/25/2023 15:00 0.00 no
Miyajima_Island_(Day_Trip) 06/26/2023 06:00 06/26/2023 16:00 100.00 no
The_Knot_Hiroshima_Checkout 06/27/2023 11:00 06/27/2023 12:00 0.00 https://www.expedia.com/Hiroshima-Hotels-THE-KNOT-Hiroshima.h48483168.Hotel-Information?chkin=2023-06-24&chkout=2023-06-27&x_pwa=1&rfrr=HSR&pwa_ts=1673145741747&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a3&regionId=6222609&destination=Hiroshima+Station%2C+Hiroshima%2C+Hiroshima+Prefecture%2C+Japan&destType=MARKET&neighborhoodId=553248635810424097&price=0&price=120&lodging=HOTEL&sort=RECOMMENDED&top_dp=95&top_cur=USD&userIntent=&selectedRoomType=321061337&selectedRatePlan=387652289

Destination: Tokyo_2 07/04/2023 18:25 07/05/2023 23:45 0.00
Flight 07/04/2023 18:25 07/04/2023 23:45 0.00 https://www.expedia.com/Flight-Information?journeyContinuationId=AQqkAwroAnY1LXNvcy00MGYwYzFjZDA0ZTVkMGIzMGJlNjgzOGZhNzRjZTU3ZC0wLTAtMX4yLlN-QVFvQ0NBRVNCd2pVQkJBQkdBRW9BbGdDY0FFfkFRcFpDaXNJeEpnQkVnUXhOVEkyR0poZElPQmNLS3FXcndJdzFKZXZBamhXUUFCWUFXb0pUVUZKVGtOQlFrbE9DaW9JeEpnQkVnTXlPVFVZNEZ3Z3B4c29pNWl2QWpEZG5xOENPRlpBQVZnQmFnbE5RVWxPUTBGQ1NVNEtXUW9xQ01TWUFSSURNamsyR0tjYklPQmNLTFdZc1FJd3Q1NnhBamhXUUFCWUFXb0pUVUZKVGtOQlFrbE9DaXNJeEpnQkVnUXlOREUyR09CY0lKaGRLTnlmc1FJd2dhR3hBamhXUUFGWUFXb0pUVUZKVGtOQlFrbE9FZ29JQVJBQkdBRXFBa1JNR0FFaUJBZ0JFQUVvQWlnREtBUXdBURGkcD0K19OQQBoQCAESDAoFUFQ1NU0SA0FUTBoSCAISDgoHUFQySDQ1TRIDQVRMIgEBKgUSAwoBMhI_ChYKCjIwMjMtMDYtMTISA1lVTBoDSE5EChYKCjIwMjMtMDctMDUSA0hORBoDWVVMEgcSBUNPQUNIGgIQASADIAEyCwj___________8B

